threshold,match_mode,target_count,total_recipes_before,total_recipes_after,remaining_unique,unique_reduction_pct,avg_ingredients_per_recipe_before,avg_ingredients_per_recipe_after,recipes_changed_count,recipes_changed_pct
0,le,0,522517,522517,5361,0.0,7.61,7.61,0,0.0
1,le,1508,522517,522517,3854,0.2811,7.61,7.61,1409,0.0027
2,le,1914,522517,522517,3448,0.3568,7.61,7.61,2168,0.0041
3,le,2150,522517,522517,3212,0.4009,7.61,7.61,2836,0.0054
4,le,2334,522517,522517,3028,0.4352,7.61,7.61,3544,0.0068
5,le,2485,522517,522517,2877,0.4633,7.61,7.61,4260,0.0082
7,le,2704,522517,522517,2658,0.5042,7.61,7.61,5611,0.0107
10,le,2985,522517,522517,2377,0.5566,7.61,7.61,8013,0.0153
