threshold,match_mode,target_count,total_recipes_before,total_recipes_after,remaining_unique,unique_reduction_pct,avg_ingredients_per_recipe_before,avg_ingredients_per_recipe_after,recipes_changed_count,recipes_changed_pct
0,le,0,49698,49698,25210,0.0,8.88,8.88,0,0.0
1,le,15819,49698,49698,9392,0.6274,8.88,8.8,11831,0.2381
2,le,19020,49698,49698,6191,0.7544,8.88,8.75,15569,0.3133
3,le,20456,49698,49698,4755,0.8114,8.88,8.71,17871,0.3596
4,le,21317,49698,49698,3894,0.8455,8.88,8.67,19639,0.3952
5,le,21896,49698,49698,3315,0.8685,8.88,8.65,21079,0.4241
7,le,22652,49698,49698,2559,0.8985,8.88,8.59,23326,0.4694
10,le,23289,49698,49698,1922,0.9238,8.88,8.53,25760,0.5183
