,variant,canonical
231,unsalted dry peanut,peanut
232,spanish peanut,peanut
233,unsweetened applesauce,applesauce
234,chunky applesauce,applesauce
235,silken tofu,tofu
236,low fat tofu,tofu
237,vanilla vodka,vodka
238,citrus infused vodka,vodka
239,raspberry vodka,vodka
240,absolut citron vodka,vodka
241,orange infused vodka,vodka
242,lemon flavored vodka,vodka
243,absolut vodka,vodka
244,cherry vodka,vodka
245,absolut mandarin vodka,vodka
246,egg beaters egg substitute,splenda sugar substitute
247,equal sugar substitute,splenda sugar substitute
248,fat free egg substitute,splenda sugar substitute
249,ener g egg substitute,splenda sugar substitute
250,non dairy milk substitute,splenda sugar substitute
251,green cardamom,cardamom
252,canned pumpkin,pumpkin
253,solid pack pumpkin,pumpkin
254,canned solid pack pumpkin,pumpkin
255,libby s canned pumpkin,pumpkin
256,dry dill weed,dill weed
257,head cauliflower,cauliflower
258,frozen cauliflower,cauliflower
259,chocolate graham cracker crumb,graham cracker crumb
260,pitted date,date
261,chestnut,water chestnut
262,macaroni,elbow macaroni
263,corkscrew macaroni,elbow macaroni
264,shell macaroni,elbow macaroni
265,quick cooking oatmeal,oatmeal
266,old fashioned oatmeal,oatmeal
267,quick oatmeal,oatmeal
268,bosc pear,pear
269,bartlett pear,pear
270,anjou pear,pear
271,asian pear,pear
272,canned pear,pear
273,candied lemon peel,lemon peel
274,candied citron peel,lemon peel
275,bing cherry,maraschino cherry
276,sour cherry,maraschino cherry
277,frozen cherry,maraschino cherry
278,red maraschino cherry,maraschino cherry
279,green maraschino cherry,maraschino cherry
280,red cherry,maraschino cherry
281,unsalted cashew,cashew
282,salted cashew,cashew
283,vanilla flavored soymilk,soymilk
284,unsweetened soymilk,soymilk
285,vanilla soymilk,soymilk
286,chocolate soymilk,soymilk
287,low fat soymilk,soymilk
288,non fat soymilk,soymilk
289,mixed spice,pumpkin pie spice
290,apple pie spice,pumpkin pie spice
291,chat masala,garam masala
292,masala,garam masala
293,peppercorn,black peppercorn
294,whole black peppercorn,black peppercorn
295,green peppercorn,black peppercorn
296,szechuan peppercorn,black peppercorn
297,leg of lamb,lamb
298,racks of lamb,lamb
299,rack of lamb,lamb
300,lemon pepper seasoning,poultry seasoning
301,accent seasoning,poultry seasoning
302,adobo seasoning,poultry seasoning
303,unsweetened pineapple chunk,pineapple chunk
304,stew beef chunk,pineapple chunk
305,cider,apple cider
306,sparkling apple cider,apple cider
307,hard alcoholic cider,apple cider
308,hard apple cider,apple cider
309,dry cider,apple cider
310,mixed herb,herb
311,frozen corn kernel,corn kernel
312,canned corn kernel,corn kernel
313,mini marshmallow,miniature marshmallow
314,colored miniature marshmallow,miniature marshmallow
315,dry linguine,linguine
316,canned tuna,tuna
317,albacore tuna,tuna
318,solid white tuna,tuna
319,chunk tuna,tuna
320,ahi tuna,tuna
321,hickory liquid smoke,liquid smoke
322,black currant,currant
323,red currant,currant
324,lime wedge,lemon wedge
325,frozen rhubarb,rhubarb
326,israeli couscou,couscou
327,red lentil,lentil
328,brown lentil,lentil
329,green lentil,lentil
330,dry lentil,lentil
331,split red lentil,lentil
332,dry green lentil,lentil
333,yellow lentil,lentil
334,french lentil,lentil
335,black lentil,lentil
336,marmalade,orange marmalade
337,low fat creme fraiche,creme fraiche
338,chocolate graham cracker,graham cracker
339,honey graham cracker,graham cracker
340,cinnamon graham cracker,graham cracker
341,low fat graham cracker,graham cracker
342,red beet,beet
343,silver beet,beet
344,smoked salmon,salmon
345,pink salmon,salmon
346,red salmon,salmon
347,canned salmon,salmon
348,instant coffee,coffee
349,brewed coffee,coffee
350,strong black coffee,coffee
351,espresso coffee,coffee
352,black coffee,coffee
353,very strong coffee,coffee
354,powdered instant coffee,coffee
355,frozen blackberry,blackberry
356,littleneck clam,clam
357,canned clam,clam
358,unsalted shelled pistachio,pistachio
359,pudding,instant vanilla pudding
360,french vanilla instant pudding,instant vanilla pudding
361,instant lemon pudding,instant vanilla pudding
362,chocolate instant pudding,instant vanilla pudding
363,chocolate pudding,instant vanilla pudding
364,prepared vanilla pudding,instant vanilla pudding
365,butterscotch pudding,instant vanilla pudding
366,banana cream instant pudding,instant vanilla pudding
367,pumpkin pie filling,cherry pie filling
368,instant vanilla flavor pudding and pie filling,cherry pie filling
369,lemon flavor instant pudding and pie filling,cherry pie filling
370,raspberry pie filling,cherry pie filling
371,frozen puff pastry,puff pastry
372,phyllo pastry,puff pastry
373,premade puff pastry,puff pastry
374,french baguette,baguette
375,sourdough baguette,baguette
376,powdered saffron,saffron
377,pickle,dill pickle
378,sweet pickle,dill pickle
379,kosher dill pickle,dill pickle
380,bread and butter pickle,dill pickle
381,sour dill pickle,dill pickle
382,imitation bacon bit,bacon bit
383,dill pickle spear,asparagus spear
384,serrano chili,green chili
385,anaheim chili,green chili
386,ancho chili,green chili
387,mild green chili,green chili
388,calimyrna fig,fig
389,spinach fettuccine,fettuccine
390,dry fettuccine,fettuccine
391,liquid sweetener,artificial sweetener
392,dry sweetener,artificial sweetener
393,allspice berry,berry
394,mixed berry,berry
395,frozen mixed berry,berry
396,green capsicum,red capsicum
397,seasoned crouton,crouton
398,garlic flavored crouton,crouton
399,herbed crouton,crouton
400,dill pickle slice,lemon slice
401,strawberry slice,lemon slice
402,crabmeat,lump crabmeat
403,frozen crabmeat,lump crabmeat
404,chipotle chile in adobo,chipotle chiles in adobo
405,turkey kielbasa,kielbasa
406,smoked kielbasa,kielbasa
407,polska kielbasa,kielbasa
408,polish kielbasa,kielbasa
409,center cut pork chop,pork chop
410,pork loin chop,pork chop
411,low sodium tamari,tamari
412,barley,pearl barley
413,quick cooking barley,pearl barley
414,pot barley,pearl barley
415,bouillon,chicken bouillon
416,instant chicken bouillon,chicken bouillon
417,chicken flavor instant bouillon,chicken bouillon
418,daikon radishe,radishe
419,red radishe,radishe
420,scallop,sea scallop
421,bay scallop,sea scallop
422,guar gum,xanthan gum
423,anise,star anise
424,graham cracker crust,graham cracker pie crust
425,prepared graham cracker crust,graham cracker pie crust
426,reduced fat graham cracker crust,graham cracker pie crust
427,inch graham cracker crust,graham cracker pie crust
428,graham cracker crumb crust,graham cracker pie crust
429,seedless watermelon,watermelon
430,green cardamom pod,cardamom pod
431,black cardamom pod,cardamom pod
432,whole cardamom pod,cardamom pod
433,whole wheat english muffin,english muffin
434,corned beef brisket,beef brisket
435,red chile,jalapeno chile
436,poblano chile,jalapeno chile
437,chipotle chile,jalapeno chile
438,chile,jalapeno chile
439,ancho chile,jalapeno chile
440,green chile,jalapeno chile
441,canned chipotle chile,jalapeno chile
442,arbol chile,jalapeno chile
443,pureed chipotle chile,jalapeno chile
444,frozen okra,okra
445,frozen cut okra,okra
446,canola oil cooking spray,olive oil flavored cooking spray
447,red plum,plum
448,purple plum,plum
449,spanish olives with pimento,pimento
450,matzo meal,flax seed meal
451,hazelnut meal,flax seed meal
452,amaretto liqueur,cointreau liqueur
453,amarula cream liqueur,cointreau liqueur
454,hazelnut flavored liqueur,cointreau liqueur
455,almond flavored liqueur,cointreau liqueur
456,tapioca starch,potato starch
457,daikon radish,radish
458,red radish,radish
459,squash,acorn squash
460,spaghetti squash,acorn squash
461,chutney,mango chutney
462,fruit chutney,mango chutney
463,major grey chutney,mango chutney
464,jumbo pasta shell,pasta shell
465,puff pastry shell,pasta shell
466,frozen puff pastry shell,pasta shell
467,grape,red seedless grape
468,seedless grape,red seedless grape
469,green seedless grape,red seedless grape
470,green grape,red seedless grape
471,red grape,red seedless grape
472,white grape,red seedless grape
473,black grape,red seedless grape
474,hash brown,frozen hash brown
475,vermouth,dry vermouth
476,sweet vermouth,dry vermouth
477,dry white vermouth,dry vermouth
478,summer savory,savory
479,sun tomato pesto,basil pesto
480,marinated artichoke,artichoke
481,white creme de cacao,creme de cacao
482,liquid stevia,stevia
483,beef dripping,bacon dripping
484,white miso,miso
485,red miso,miso
486,yellow miso,miso
487,non dairy whipped topping,cool whip topping
488,frozen non dairy topping,cool whip topping
489,liver,chicken liver
490,calf liver,chicken liver
491,broccoli stem,cilantro stem
492,parsley stem,cilantro stem
493,mushroom stem,cilantro stem
494,mixed lettuces and spring green,green
495,lettuce green,green
496,lemon juice concentrate,frozen limeade concentrate
497,frozen cranberry juice concentrate,frozen limeade concentrate
498,powdered soy protein concentrate,frozen limeade concentrate
499,pink grapefruit,grapefruit
500,red grapefruit,grapefruit
501,curacao,blue curacao
502,orange curacao,blue curacao
503,chicken fat,bacon fat
504,duck fat,bacon fat
505,gluten,vital wheat gluten
506,wheat gluten,vital wheat gluten
507,fine semolina,semolina
508,melon,honeydew melon
509,bitter melon,honeydew melon
510,currant jelly,red currant jelly
511,green onions with top,green onion top
512,scallion top,green onion top
513,celery top,green onion top
514,tapioca,quick cooking tapioca
515,minute tapioca,quick cooking tapioca
516,dry tapioca,quick cooking tapioca
517,pearl tapioca,quick cooking tapioca
518,macaroni noodle,spaghetti noodle
519,udon noodle,spaghetti noodle
520,tagliatelle pasta noodle,spaghetti noodle
521,cellophane noodle,spaghetti noodle
522,bean thread noodle,spaghetti noodle
523,dry lasagna noodle,spaghetti noodle
524,pasta noodle,spaghetti noodle
525,black tea,tea
526,instant tea,tea
527,phyllo pastry sheet,puff pastry sheet
528,rice paper sheet,puff pastry sheet
529,live lobster,lobster
530,green plantain,plantain
531,white hominy,hominy
532,yellow hominy,hominy
533,mushroom cap,portabella mushroom cap
534,smoked ham hock,ham hock
535,white chocolate curl,chocolate curl
536,pepperidge farm herb stuffing,prepared stuffing
537,liquid smoke flavoring,vanilla flavoring
538,ham shank,lamb shank
539,quick cooking grit,grit
540,yucca root,celery root
541,dry marsala,marsala
542,bulgur wheat,bulgar wheat
543,endive,belgian endive
544,green creme de menthe,creme de menthe
545,white creme de menthe,creme de menthe
546,graham cracker square,white chocolate baking square
547,baker s unsweetened chocolate square,white chocolate baking square
548,channa dal,urad dal
549,beef suet,suet
550,pork sausage link,sweet italian sausage link
551,hot italian sausage link,sweet italian sausage link
552,cheese spread,cream cheese spread
553,i can t believe it s not butter spread,cream cheese spread
554,lumpia skin,wonton skin
